"","FECHA","HORA","CO","NO","NO2","NOX","O3","PM25"
"7625","14/11/2022",17,0.11,1,9,10,46,17
"1604","08/03/2022",20,0.38,3,16,19,32,14
"926","08/02/2022",14,0.3,3,9,11,43,14
"1765","15/03/2022",13,0.24,1,13,14,87,36
"4959","26/07/2022",15,0.1,1,5,6,65,12
"1229","21/02/2022",5,0.42,8,30,38,5,14
"2942","03/05/2022",14,0.26,1,14,15,119,51
"3202","14/05/2022",10,0.59,12,32,44,40,51
"7995","30/11/2022",3,0.74,10,40,50,5,35
"1616","09/03/2022",8,0.34,5,13,18,18,8
"1815","17/03/2022",15,0.1,1,7,7,59,20
"3571","29/05/2022",19,0.2,1,6,7,62,22
"1767","15/03/2022",15,0.22,1,13,13,98,36
"6681","06/10/2022",9,0.39,19,20,39,8,17
"1686","12/03/2022",6,0.23,2,26,29,20,16
"2844","29/04/2022",12,0.27,2,12,13,87,26
"7047","21/10/2022",15,0.58,2,29,32,76,40
"331","14/01/2022",19,0.5,3,29,31,31,19
"7338","02/11/2022",18,0.23,0,15,15,61,8
"400","17/01/2022",16,0.35,2,19,21,46,26
"6853","13/10/2022",13,0.03,2,9,11,61,12
"3366","21/05/2022",6,0.71,1,28,30,29,49
"598","25/01/2022",22,0.36,1,17,18,16,15
"2202","02/04/2022",18,0.15,0,10,11,90,39
"5513","18/08/2022",17,0.33,3,16,19,48,16
"6507","29/09/2022",3,0.04,0,5,5,40,2
"7335","02/11/2022",15,0.13,1,9,10,75,20
"7529","10/11/2022",17,0.09,1,12,14,67,21
"132","06/01/2022",12,0.43,6,29,35,44,37
"5841","01/09/2022",9,0.45,22,17,40,12,6
"7725","18/11/2022",21,0.53,2,32,34,28,24
"7731","19/11/2022",3,0.47,3,32,35,7,26
"7908","26/11/2022",12,0.1,2,6,7,39,7
"1564","07/03/2022",4,0.77,9,35,44,4,23
"2110","29/03/2022",22,0.51,2,24,26,36,30
"224","10/01/2022",8,0.67,16,41,57,3,31
"7255","30/10/2022",7,0.92,21,36,57,5,29
"353","15/01/2022",17,0.14,2,10,12,32,16
"5843","01/09/2022",11,0.17,8,14,22,32,7
"1690","12/03/2022",10,0.42,10,26,35,37,27
"7562","12/11/2022",2,0.91,6,37,42,11,44
"7984","29/11/2022",16,0.31,1,15,15,83,42
"3509","27/05/2022",5,0.21,1,16,18,24,25
"1962","23/03/2022",18,0.19,2,8,10,47,17
"890","07/02/2022",2,0.59,8,29,37,17,27
"7870","24/11/2022",22,0.5,1,23,24,30,35
"6399","24/09/2022",15,0.27,1,12,13,72,20
"3429","23/05/2022",21,0.44,2,31,33,25,18
"6811","11/10/2022",19,0.24,3,21,24,20,8
"6720","07/10/2022",24,0.44,5,24,29,8,8
"206","09/01/2022",14,0.28,3,17,20,56,29
"7422","06/11/2022",6,1.43,47,36,83,3,42
"5142","03/08/2022",6,0.48,11,23,34,5,16
"810","03/02/2022",18,0.3,1,9,11,52,15
"834","04/02/2022",18,0.28,3,10,13,41,11
"5713","27/08/2022",1,0.72,6,46,52,3,23
"1573","07/03/2022",13,0.39,3,21,24,77,35
"5499","18/08/2022",3,0.16,2,22,24,12,16
"1323","25/02/2022",3,0.38,2,28,29,14,21
"816","03/02/2022",24,0.22,1,12,13,19,11
"7563","12/11/2022",3,1.11,15,46,60,2,90
"7084","23/10/2022",4,0.14,0,14,14,17,15
